atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
1926803734,1168010800,C03,A1,2/-4,55000,287,658,,37.520021,127.037988,7호선 강남구청역부근으로 리모델링되어 매우 컨디션 좋은 3룸 매매,"['25년이상', '역세권', '방세개']",세양스타부동산공인중개사사무소
1926568672,1168011500,A02,A1,저/20,70000,194,97,남동향,37.488077,127.101892,"수서역, SRT가 건물 지하와 연결, 남향의 귀한 사무실","['25년이내', '역세권', '대형평수']",남서울공인중개사
1926113885,1168010600,D01,A1,5/9,60000,138,70,,37.500187,127.051563,대치동 학원가 대로변 수익률 좋은 상가 사무실,['역세권'],뉴탑공인중개사사무소
1926076023,1168010800,C02,A1,1/4,31000,289,23,남동향,37.509575,127.031063,대지지분 좋은 투자용매물,"['25년이상', '역세권', '1층']",수호부동산중개
1926018040,1168010100,D02,A1,2/5,72000,174,71,,37.499225,127.048457,"이마트건물2층, 병원,한의원,학원등","['2년이내', '주차가능', '총5층']",천지공인중개사사무소
1926561100,1168011800,A02,A1,중/30,50000,135,67,남향,37.486471,127.052022,41 올수리 완벽,"['25년이내', '올수리', '역세권', '대형평수']",타워미래공인중개사사무소 
1926457227,1168011400,C02,A1,2/2,46000,287,46,,37.49498,127.085749,"소형 빌라, 마지막 남은 유망지역, 세끼고 매입하세요","['대형평수', '탑층', '방두개', '세안고']",래미안루체하임스타공인중개사
1926212700,1168010100,A02,A1,고/20,80000,149,78,남향,37.508679,127.039412,더블역세권역,"['15년이내', '역세권', '대형평수', '방두개']",이안공인중개사사무소
1926077227,1168010100,A02,A1,중/20,91000,208,109,남향,37.508679,127.039412,더블역세권역,"['15년이내', '역세권', '대형평수', '방세개']",이안공인중개사사무소
1926013320,1168011300,A02,A1,고/10,88000,157,74,남향,37.473765,127.107157,"탁트인 정남향의 반듯한 3룸의 주상복합, 수서역세권","['4년이내', '화장실두개', '대형평수', '방세개']",(주)김앤김부동산중개
1926084508,1168010100,A01,A1,저/7,89000,143,129,,37.494288,127.039258,"대형평수 입주가능,투자가능한 급매 특올수리된 매물","['25년이내', '올수리', '급매', '대형평수']",세종공인중개사사무소
1926076542,1168011200,D02,A1,1/10,75000,220,112,,37.474399,127.104058,자곡동 오피스텔 상가,['1층'],강남SRT공인중개사사무소
1926013301,1168010500,D02,A1,3/20,70000,165,108,,37.512326,127.051855,대로변 초역세권 상가매물입니다.,"['25년이내', '역세권', '천장에어컨']",태양공인중개사사무소
1928563310,1168011500,D01,A1,3/5,60000,165,83,,37.488372,127.102479,"급매매, 공실로 바로 입주가능함
상가, 사무실 둘다 가능함
수서역세권","['25년이내', '역세권', '급매', '주차가능']",남서울공인중개사사무소
1928435617,1168010800,D02,A1,1/2,75000,390,350,,37.520411,127.036117,현 음식점 전속매물,"['1층', '주차가능', '총2층']",에덴공인중개사사무소
1927449749,1168010600,D01,A1,4/10,60000,145,59,,37.500187,127.051563,공실걱정 없는 대로변 사무실 입니다,"['역세권', '주차가능']",강남중앙공인중개사사무소
1927405946,1168010100,A01,A1,중/7,85000,151,103,남향,37.50153,127.034505,직접보유매물 역삼역3분 갭투자 올리모델링 구조좋은방4,"['25년이내', '역세권', '대형평수', '방세개']",한마음공인중개사사무소
1927264501,1168010100,A01,A1,고/7,95000,144,126,,37.494258,127.038851,반듯하고  정리잘된집 ,"['25년이내', '대형평수', '방네개이상', '화장실두개']",그린공인중개사사무소
1927087119,1168010400,D02,A1,3/10,68000,216,112,,37.526434,127.049678,청담동주택가구분상가,"['10년이내', '주차가능']",사람과집공인중개사사무소
1926992055,1168011300,E03,A1,-,38000,345,0,,37.467434,127.117574,"개발제한구역, 투자용",[],칠성공인중개사사무소
1926913282,1168010100,D05,A1,4/-1,95000,275,758,동향,37.499431,127.043905,,"['25년이상', '주차가능', '총4층', '동향']",(주)유일부동산중개법인
